Product Name,Price,Our Price + 15%,Status,Category,Sub Category,SKU
eGo T Electronic Cigarette Atomizer,,3.99,Enabled,Tanks & Coils,Rebuildable Atomizers,Ego T Atomizer
Vivi Nova Tank Clearomizer 8.0ml,,3.99,Enabled,Tanks & Coils,Clearomizers,ViVi Nova
Ego Ce4 Single Edition Starter Kit,,10.99,Enabled,,,Singel UnoVapor
SMOK S.I.D variable voltage Vari SID Full Kit,,45.99,Enabled,Devices,Variable Voltage/Wattage Mods,Smok SID Var
Innokin iClear 16 Dual Coil Clearomizer,,3.99,Enabled,Tanks & Coils,Clearomizer Replacement Coils,Innokin iClear 16 Dual
Ego Electronic Cigarette Manual Battery 1100mAh,,5.99,Enabled,Devices,Constant Voltage Mods & eGo Batteries,Ego Batteries
V-Core 2.0 Rebuildable Atomizer,,5.99,Enabled,Tanks & Coils,Rebuildable Atomizers,V-Core 2.0
eGo-K (King) Laser Etched Battery 1100mAh,,10.99,Enabled,Devices,Constant Voltage Mods & eGo Batteries,Ego K 
Vivi Nova Tank Clearomizer 3.5ml,,3.99,Enabled,Tanks & Coils,Clearomizers,ViVi Nova Tank
Sigelei Zmax V5 AVP Telescope Flat Top Kit Variable Volt/Watt,,55.99,Enabled,Devices,Variable Voltage/Wattage Mods,Sigelei ZMAX V5
Innokin iTaste EP Starter Kit with iClear10 Clearomizers,14.95,17.99,Enabled,Tanks & Coils,Clearomizers,iTaste EP
Ego Ce4 Single Kit With Liquid In DisPlay Box,12.5,14.99,New,,,Single Display
Innokin Iclear 16 replacement head coil 5 Pack,,8.99,Enabled,Tanks & Coils,Clearomizer Replacement Coils,Iclear 16 head coil
Vivi Nova Tank Clearomizer 2.0ml,,3.99,Enabled,Accessories,Clearomizer Parts,Vivi Nova Tank Clearomizer 2.0ml
Ego 510 E-Cigarette starting kit,22,25.99,New,Tanks & Coils,Rebuildable Atomizers,Ego510
Ego / 510 DCT Tank System (6mL) Atomizer,,3.99,Enabled,Tanks & Coils,Rebuildable Atomizers,Dct6ML
Ego C 650 Or 1100mAh E-Cigarette,28,32.99,New,Tanks & Coils,rebuildable Atomizers,Ego t 510
New Innokin iClear 30S Dual Coil Clearomizer,,11.99,Enabled,Tanks & Coils,Clearomizer Replacement Coils,iClear30s clearomizer 
