Product Name,Price,Our Price + 15%,Status,Category,Sub Category,SKU
New Ego-V V3 1300Mah Passthrough Wariable Voltage Wattage,,22.99,Enabled,Devices,Variable Voltage/Wattage Mods,Ego-V V3 1300Mah
Innokin iTaste SVD 2.0 Starter Kit,,59.99,Enabled,Devices,Variable Voltage/Wattage Mods,Innokin iTaste SVD 2.0
Innokin iTaste vv iClear 16 Full Starter Kit V3,,39.99,Enabled,Devices,Variable Voltage/Wattage Mods,iTaste vv Kit
1300MAH UV Twist Variable Voltage Battery 3.2V-4.8V,,13.99,Enabled,Devices,Variable Voltage/Wattage eGo Batteries,UV 1300c-Twist
iTaste MVP20W Box Advanced Personal Vaporizer,,33.99,Enabled,Devices,Variable Voltage/Wattage Mods,MVP20W 
Tesla V3 III Mod 7-30W Variable Voltage& Wattage OLED Display 18650,,38.99,Enabled,Devices,Variable Voltage/Wattage Mods,Tesla V3
Pyrex Drip Tips,,3.99,Enabled,Accessories,Drip Tips,Pyrex Drip Tips
SmokTech Magnetic Bolt,,20.99,Enabled,Devices,Mechanical Mods,SmokTech Bolt
"Kanger eVod VV 1000mah Variable Voltage eVod ""Twist"" Battery",,17.99,Enabled,Devices,Constant Voltage Mods & eGo Batteries ,Kanger eVod VV 1000mah
Kangertech K-Simar 20 Adjustable 7w - 20w,,39.99,Enabled,Devices,Variable Voltage/Wattage Mods,K-Simar 20
SMOKTech RSST Rebuildable Genesis Style Atomizer,,16.99,Enabled,Tanks & Coils,Rebuildable Atomizers,RSST
Efest IMR 26650-3500mAh 3.7V LiMn battery for big mods,,13.99,Enabled,Accessories,IMR Batteries & Battery Cases,Efest IMR 26650-3500mAh
Sigelei The Legend gravity sensor Mod Full Kit,,39.99,Enabled,Devices,Mechanical Mods,Sigelei Legend
Efest SODA Charger,,12.99,Enabled,Accessories,Chargers,Efest Soda CH
Tesla Wood VW 120W Variable Wattage Box Mod,,75.99,Disabled,Devices,Variable Voltage/Wattage Mods,Tesla Wood VW 120W
SMY GOD 180 Watt Box Mod 18650,,91.99,Enabled,Devices,Variable Voltage/Wattage Mods,SMY GOD 180 
eFest LUC Multi-function Smart Charger with MIni LCD Screen,,26.99,Enabled,Accessories,Chargers,eFest LUC
Efest IMR 18650 3.7V LI-MN 20A 3100mAh High Drain,,10.99,Enabled,Accessories,IMR Batteries & Battery Cases,Efest 3100 mAh 20A
Sigelei 150w Box Mod Variable Wattage,,74.99,Disabled,Devices,Variable Voltage/Wattage Mods,Sigelei 150W
eFest LUC V4 Multi-function Smart Charger with LCD Screen,,31.99,Enabled,Accessories,Chargers,eFest LUC V4
Efest BIO V2 Intelligent Charger,,22.99,Enabled,Accessories,Chargers,Efest BIO V2 CH
Tesla Metal 120W VW Variable Wattage Box Mod,,74.99,Enabled,Devices,Variable Voltage/Wattage Mods,Tesla Metal 120W
Tesla Invader Wooden Box Mod Dual 18650,,32.99,Enabled,Devices,Variable Voltage/Wattage Mods,Tesla Invader
2014 Innokin iTaste Mini 134 VW Personal Vaporizer,,94.99,Disabled,Devices,Variable Voltage/Wattage Mods,Innokin Mini134
Efest IMR 18650 2000mAh Flat Top 3.7V Rechargeable LiMn Battery,,7.99,Enabled,Devices,Constant Voltage Mods & eGo Batteries,Efest
Efest IMR 185000A 3.7V 1100mah High Drain Rechargeable Battery,,7.99,Enabled,Accessories,IMR Batteries & Battery Cases,Efest 1100Mah 18500
iStick Mod Box 20W Eleaf Ismoka Full Kit,,30.99,Enabled,Devices,Variable Voltage/Wattage Mods,Eleaf iStick 20W
Multi Size Mod Battery Charger 18650 | 18350 | 18500,,4.99,Enabled,Accessories,Chargers,Mod Charger
E-Fire wooden Twist Battery 900 Mah Full KIt,,36.99,Disabled,Devices,Constant Voltage Mods & eGo Batteries,E-Fire Full KIt
IPV Mini 2 70 Watt Pioneer4you,,58.99,Disabled,Devices,Variable Voltage/Wattage Mods,IPV Mini 2
Ego-V MOD 1200mAh Variable Voltage Battery,,27.99,Disabled,Devices,Variable Voltage/Wattage eGo Batteries,egov1200mah
New VAMO V5 Starter Kit Detachable VV and VW Mod,,33.99,Enabled,Devices,Variable Voltage/Wattage Mods,Vamo V5
Apollo Mechanical Mod Clone Full Copper Body By Eternity 18650,,27.99,Enabled,Devices,Mechanical Mods,Apollo Clone 
Leather PV Lanyard Case For Mod's Zmax Sid Evic Vamo svd ...,,4.99,Enabled,Accessories,Tools,Mod Lanyard
Zero Mod 30 Watt Box 1:1 Clone By Infinite,,69.99,Enabled,Devices,Variable Voltage/Wattage Mods,Zero Mod
Innokin Cool Fire II Mod Starter Kit,,59.99,Enabled,Devices,Variable Voltage/Wattage Mods,Cool Fire II
Sigelei Mini 30W Box Mod,,32.99,Enabled,Devices,Variable Voltage/Wattage Mods,Sigelei Mini 30W
Vision Spinner 2 1600 mAh,,23.99,Enabled,Devices,Variable Voltage/Wattage Mods,Vision Spinner 2
Mutation X V2 RDA Clone By Eternity,,19.99,Enabled,Tanks & Coils,Rebuildable Atomizers,Mutation X V2 Clone
Innokin Itaste VTR,,77.99,Enabled,Devices,Variable Voltage/Wattage Mods,Innokin Itaste VTR
Kanger Aerotank Mega with Airflow Control,,29.99,Enabled,Devices,Mechnical Mods,Kanger Aerotank Mega
Cloupor Mini 30W Box Mod,,33.99,Enabled,Devices,Variable Voltage/Wattage Mods,Cloupor Mini 30W 
Innokin iTaste MVP 2.0 iClear16B Dual Coil Energy Line Kit,,42.99,Disabled,Devices,Variable Voltage/Wattage Mods,MVP Energy Line
Kanger K Box 40 Watt Mod,,22.99,Enabled,Devices,Variable Voltage/Wattage Mods,K Box 40 W
E-Fire wooden Twist Battery 900 Mah Full KIt,,36.99,Disabled,Devices,Constant Voltage Mods & eGo Batteries,E-Fire Full KIt
Penny V2 Style 18650 Copper Mechanical Mod Clone,,26.99,Disabled,Devices,Mechanical Mods,Penny V2 Style
NEW Innokin iTaste MVP V2.0 Iclear 16/30,,37.99,Disabled,Devices,Variable Voltage/Wattage Mods,Innokin MVP 2.0 IC-16/30
Joyetech Evic Supreme 30Watt Full KIt,,103.99,Enabled,Devices,Variable Voltage/Wattage Mods,Evic Supreme
Eleaf Lemo Ismoka RBA Pyrex glass 5ML,,27.99,Enabled,Devices,Mechanical mods,Eleaf Lemo
Overdose Mod Copper Clone,,42.99,Enabled,Devices,Mechanical Mods,Overdose Mod Copper Clone
Aspire Elite kit CF Maxx 3000mah And Atlantis Mega 5ml,,111.99,Enabled,Devices,Mechanical Mods,Aspire Elite kit
SMOK S.I.D variable voltage Vari SID Full Kit,,45.99,Enabled,Devices,Variable Voltage/Wattage Mods,Smok SID Var
FireStone e-Lvt Variable Voltage / Variable Wattage Indestructible Vape MOD,,40.99,Enabled,Devices,Variable Voltage/Wattage Mods,E-Lvt
The FUhattan Carbon Fiber Colone By Eternity 3 Colors,,32.99,Enabled,Devices,Mechanical Mods,FUHattan Mod Clone
itaste mvp / 2.0 wrappers 5 Colors,,4.99,Enabled,Accessories,Tools,itaste mvp wrappers
Eleaf iStick Mini Box Mod Full KIt,,22.99,Disabled,Devices,Variable Voltage/Wattage Mods,iStick Mini 10W
"Kanger eVod VV 650mah Variable Voltage eVod ""Twist"" Battery",,17.99,Enabled,Devices,Variable Voltage/Wattage eGo Batteries,Kanger eVod VV 650mah
Overdose Mod Copper Clone,,42.99,Enabled,Devices,Mechanical Mods,Overdose Mod Copper Clone
Hell's Gate Dual 18650 Dual RDA Box Mod Full Kit,,57.99,Enabled,Tanks & Coils,Rebuildable Atomizers,Hell's Gate
Sigelei Zmax V5 AVP Telescope Flat Top Kit Variable Volt/Watt,,55.99,Enabled,Devices,Variable Voltage/Wattage Mods,Sigelei ZMAX V5
KangerTech IPOW 650 mAh Battery Twist,,16.99,Enabled,Devices,Variable Voltage/Wattage eGo Batteries,Kanger Ipow
"Aspire CF SUBΩ (sub ohm) Battery with Max 40A Current, 2000mAh",,34.99,Enabled,Devices,Variable Voltage/Wattage eGo Batteries (23),Aspire CF SUBΩ
New Innokin iClear 30S Dual Coil Clearomizer,,11.99,Enabled,Tanks & Coils,Clearomizer Replacement Coils,iClear30s clearomizer 
Eleaf iStick 30W with 2200mAh OLED Screen Full Kit,,34.99,Enabled,Devices,Variable Voltage/Wattage Mods,iStick Mini 30W
VAMO V2 Starter Kit Detachable VV and VW Mod,,40.99,Disabled,Devices,Variable Voltage/Wattage Mods,vamo
