Product Name,Price,Our Price + 15%,Status,Category,Sub Category,SKU
Hammer Mechanical Mod,,19.99,Enabled,Devices,Mechanical Mods,Hammer Mod
Anarchist Mod Stainless Steel Clone,,31.99,Enabled,Devices,Mechanical Mods,Anarchist Mod Clone
Stingray Mechanica Mod Clone,,32.99,Disabled,Devices,Mechanical Mods,13008
Skyline M6 Mechanical Mod Clone By Eternity,,16.99,Enabled,Devices,Mechanical Mods,M6 clone
Smoktech Magneto Telescopic Mechanical Mod,,38.99,Enabled,Devices,Mechanical Mods,Magneto
Tesla GAIA 18650 Mechanical Mod Copper Brass Stainless,,30.99,Enabled,Devices,Mechanical Mods,GAIA
Paragon Mechanical Mod Clone Copper / Carbon Fiber,,33.99,Enabled,Devices,Mechanical Mods,Paragon Clone 
Tesla Vapelyfe Mechanical Mod Full RDA Set,,37.99,Enabled,Devices,Mechanical Mods,Tesla Vapelyfe
SMPL Style 18650 Mechanical Mod Clone By Eternity,,28.99,Enabled,Devices,Mechanical Mods,SMPL Clone
Changeling Mod Kit Clone 18650 Mechanical Mod,,37.99,Enabled,Devices,Mechanical Mods,Changeling Mod Clone
Tesla AR18650 Mechanical Mod Black / Stainless Clone,,20.99,Enabled,Devices,Mechanical Mods,Tesla AR
The Rig Competition Mod Clone By Eternity,,30.99,Enabled,Devices,Mechanical Mods,The Rig Clone 
2Six Mechanical Mod Clone - 26650 Verison of 4Nine Mod,,23.99,Enabled,Devices,Mechanical Mods,2Six Clone
Panzer Mechanical Mod 18650 panzer clone mod,,31.99,Enabled,Devices,Mechanical Mods,Panzer Mechanical Mod
Chi You Megan 26650 Mechanical Mod Clone,,27.99,Enabled,Devices,Mechanical Mods,Chi You Megan 26650
Anatolian Style 18650 Copper Mechanical Mod Clone,,24.99,Enabled,Devices,Mechanical Mods,Anatolian Copper
Manhattan Style 18650 Mechanical Mod Clone,,30.99,Enabled,Devices,Mechanical Mods,Manhattan
Smoktech Turbo mod 18650 mechanical Mod,,37.99,Enabled,Devices,Mechanical Mods,Smok Turbo
CV1 Virtus mod Clone Full mechanical Mod,,27.99,Enabled,Devices,Mechanical Mods,CV1 Virtus Clone
Tesla Hades 26650 Mechanical Mod Clone,,21.99,Enabled,Devices,Mechanical Mods,Tesla Hades 26650
CMII 18650 Mechanical Mod Clone 3 Tubes Kit,,29.99,Enabled,Devices,Mechanical Mods,CMII 18650
Smoktech Magnet Natural clone mod 18650 mechanical mod,,33.99,Enabled,Devices,Mechanical Mods,Smoktech Magnet Natural
Silver Dragon 18650 Mechanical Mod Clone,,29.99,Enabled,Devices,Mechanical Mods,Silver Dragon Clone
Vanilla Copper Mechanical Mod Clone,,22.99,Enabled,Devices,Mechanical Mods,Vanilla Copper Mod
THE KINGPIN by MCV PHILIPPINES Clone,,27.99,Enabled,Devices,Mechanical Mods,KINGPIN
Aspire CF Mod,,38.99,Enabled,Devices,Mechanical Mods,13025
Smoktech 18350 ePipe Mod Fully Mechanical ePipe Mod,,23.99,Enabled,Devices,Mechanical Mods,Smoktech ePipe
18650 Corsair Sea Rover Mod,,30.99,Enabled,Devices,Mechanical Mods,Sea Rover Mod
4Nine Mechanical Mod Copper Clone,,22.99,Enabled,Devices,Mechanical Mods,4Nine
Akuma Mod Mechanical Mod Clone,,24.99,Enabled,Devices,Mechanical Mods,Akuma Mod
Ballistic Telescoping Mod Clone,,24.99,Enabled,Devices,Mechanical Mods,Ballistic Mod Clone
Cartel 26650 Clone,,20.99,Enabled,Devices,Mechanical Mods,Cartel 26650 Clone
Eternity Sir Lancelot Clone Mechanical Mod,,28.99,Enabled,Devices,Mechanical Mods,Sir Lancelot Clone
FM Copper Mechanical Mod Clone By Tesla,,27.99,Enabled,Devices,Mechanical Mods,FM Mod Clone
Four Guardian Gods FGG Telescopic Mechanical Mod 26500-26650 Clone,,22.99,Enabled,Devices,Mechanical Mods,FGG Mod Clone
Infinite Le Petit Gros Mod 18350,,16.99,Enabled,Devices,Mechanical Mods,Infinite Le Petit Gros
Innokin Itaste 134 MX-Z Zodiac Mechanical Mod,,54.99,Enabled,Devices,Mechanical Mods,134 MX-Z
King Mod Clone Stainless Still ,,18.99,Enabled,Devices,Mechanical Mods,King Mod
