Product Name,Price,Our Price + 15%,Status,Category,Sub Category,SKU
E-Cigarette DSE801 RN4075 USB Charger,,5.99,Enable,Accessories,Chargers,E-Cigarette DSE801 USB Charger
H2 Replacement Head Coil 10 Pack,,18.99,Enable,Tanks & Coils,Clearomizer Replacement Coils,H2 Head Coil
Ego Electronic Cigarette Manual Battery 650mAh,,5.99,Enable,Devices,Constant Voltage Mods & eGo Batteries,Ego Electronic Cigarette Manual Battery 650mAh
Vivi Nova Tank Clearomizer 3.5ml,,3.99,Enable,Tanks & Coils,Clearomizers,ViVi Nova Tank
Syringe with 5 Metal blunt needle For Refill,,2.99,Enable,Accessories,Tools,Syringe with 5 Metal blunt 
Large Ego Travel Case | Ego T Case,,3.99,Enable,Accessories,Tools,Ego Case Large
Universal Electronic Cigarette Car Charger,,5.99,Enable,Accessories,Chargers,Universal Electronic Cigarette Car Charger
Ego / 510 DCT Tank System (6mL) Atomizer,,3.99,Enable,Tanks & Coils,Rebuildable Atomizers,Dct6ML
itaste mvp / 2.0 wrappers 5 Colors,,4.99,Enable,Accessories,Tools,itaste mvp wrappers
Dse901 Electronic Cigarette Battery,,7.99,Enable,Devices,Constant Voltage Mods & eGo Batteries,Dse Batteries
Multi Size Mod Battery Charger 18650 | 18350 | 18500,,4.99,Enable,Accessories,Chargers,Mod Charger
Vivi Nova Tank Clearomizer 2.0ml,,3.99,Enable,Accessories,Clearomizer Parts,Vivi Nova Tank Clearomizer 2.0ml
Kanger MINI Protank 3 In 5 Colors KIT,,10.99,Disabled,Accessories,Tools,Kanger Mini PT3 KIt
Ego Electronic Cigarette Car Charger,,2.99,Enable,Accessories,Chargers,Ego Electronic Cigarette Car Charger
Ego Silicone Sucker 60Pcs In A Bag 10 Per Color,,27.99,Enable,Accessories,Tools,Silicone Sucker
RN4081 Super Mini Electronic Cigarette Battery,,7.99,Enable,,,RN4081 Batteries
Innokin iClear30B Clearomizer,,9.99,Enable,Tanks & Coils,Clearomizers,Innokin Iclear 30B
Dse901 Wall Charger,,7.99,Enable,Accessories,Chargers,Dse901
eFest LUC Multi-function Smart Charger with MIni LCD Screen,,26.99,Enable,Accessories,Chargers,eFest LUC
1300MAH UV Twist Variable Voltage Battery 3.2V-4.8V,,13.99,Enable,Devices,Variable Voltage/Wattage eGo Batteries,UV 1300c-Twist
E-Cigarette RN4081 USB Charger,,6.99,Enable,Accessories,Chargers,E-Cigarette eGo USB Charger
eGo-Q (Queen) Embossed Battery 650mAh,,10.99,Enable,Devices,Constant Voltage Mods & eGo Batteries,eGo-Q
Dse801 Electronic Cigarette Battery,,6.99,Enable,Devices,Constant Voltage Mods & eGo Batteries,Dse801 Batteries
iClear 30B replacement coils 5 Pack,,11.99,Enable,Tanks & Coils,Clearomizer Replacement Coils,iClear 30B coils
Joye 510 Wall Charger,,4.99,Enable,Accessories,Chargers,Joye 510 Wall Charger
Efest IMR 18650 2000mAh Flat Top 3.7V Rechargeable LiMn Battery,,7.99,Enable,Devices,Constant Voltage Mods & eGo Batteries,Efest
Ego Electronic Cigarette Manual Battery 1100mAh,,5.99,Enable,Devices,Constant Voltage Mods & eGo Batteries,Ego Batteries
E-Cigarette DSE901 RN4072 USB Charger,,7.99,Enable,Accessories,Chargers,E-Cigarette DSE901 RN4072 USB Charger
eGo T Electronic Cigarette Atomizer,,3.99,Enable,Tanks & Coils,Rebuildable Atomizers,Ego T Atomizer
RN4081 Wall Charger,,7.99,Enable,Accessories,Chargers,RN4081 Wall Charger
SmokTech Pyrex 3.5ml ViVi Nova Tank,,5.99,Enable,Accessories,Tools,Pyrex 3.5ml ViVi Nova .
UV RX Wax Pyrax Atomizer,,5.99,Enable,Tanks & Coils,Rebuildable Atomizers,UV RT
"RN4075, Dse801 Electronic Cigarette Atomizer",,4.99,Enable,Tanks & Coils,Rebuildable Atomizers,"RN4075, Dse801 Electronic Cigarette Atomizer"
DCT Replaceable Atomizer 5 Pack,,10.99,Enable,Tanks & Coils,Rebuildable Atomizers,DCT 6ml Hades 5 Pack
