Product Name,Price,Our Price + 15%,Status,Category,Sub Category,SKU
Pyrex Drip Tips,,3.99,Enable,Accessories,Drip Tips,Pyrex Drip Tips
Tesla Two Box Mod 4000mAh Internal 40A ,23.5,26.99,New,Devices,Variable Voltage/Wattage Mods,Tesla Two
TESLA 160W TEMPERATURE CONTROL TC WOOD BOX MOD,59.95,68.99,New,Devices,Variable Voltage/Wattage Mods,TESLA 160W
Tesla Invader II Wooden Box Mod Dual 18650,,34.99,Enable,Devices,Variable Voltage/Wattage Mods,Tesla Invader II
Tesla V3 III Mod 7-30W Variable Voltage& Wattage OLED Display 18650,,38.99,Enable,Devices,Variable Voltage/Wattage Mods,Tesla V3
Tesla Metal 120W VW Variable Wattage Box Mod,,74.99,Enable,Devices,Variable Voltage/Wattage Mods,Tesla Metal 120W
Tesla Invader Wooden Box Mod Dual 18650,,32.99,Enable,Devices,Variable Voltage/Wattage Mods,Tesla Invader
Tesla Mod Kit Variable Wattage / Variable Voltage,,51.99,Enable,Devices,Variable Voltage/Wattage Mods,Tesla Mod
Tesla Wood VW 120W Variable Wattage Box Mod,,75.99,Disable,Devices,Variable Voltage/Wattage Mods,Tesla Wood VW 120W
"New Tesla Sidewinder II S2 (3-6v) 2000mAh The First SUB OHM VV Variable Voltage ""Twist"" Battery",16.45,18.99,New,Devices,Variable Voltage/Wattage eGo Batteries,Tesla Sidewinder II 2000mAh
Stillare RDA V2 Clone,11.5,13.99,New,Devices,Mechanical Mods,Stillare V2
Anatolian Style 18650 Copper Mechanical Mod Clone,,24.99,Enable,Devices,Mechanical Mods,Anatolian Copper
Tahiti Evo Mod Brass 18650 Full Mechanical Mod Clone,,31.99,Enable,Devices,Mechanical Mods,Tahiti Evo Clone
THE KINGPIN by MCV PHILIPPINES Clone,,27.99,Enable,Devices,Mechanical Mods,KINGPIN
Tesla Hades 26650 Mechanical Mod Clone,,21.99,Enable,Devices,Mechanical Mods,Tesla Hades 26650
CV1 Virtus mod Clone Full mechanical Mod,,27.99,Enable,Devices,Mechanical Mods,CV1 Virtus Clone
Vanilla Copper Mechanical Mod Clone,,22.99,Enable,Devices,Mechanical Mods,Vanilla Copper Mod 
Silver Dragon 18650 Mechanical Mod Clone,,29.99,Enable,Devices,Mechanical Mods,Silver Dragon Clone
Manhattan Style 18650 Mechanical Mod Clone,,30.99,Enable,Devices,Mechanical Mods,Manhattan
Nemesis Mechanical Mod,,29.99,Enable,Devices,Mechanical Mods,Nemesis Mod
4Nine Mechanical Mod Copper Clone,,22.99,Enable,Devices,Mechanical Mods,4Nine
Celtic Slojo Mechanical Mod Clone,,29.99,Enable,Devices,Mechanical Mods,Celtic Clone
Penny Copper Mechanical Mod Clone ,,21.99,Enable,Devices,Mechanical Mods,Penny Copper 
Stingray X Mod 18650 Clone By Tesla,,37.99,Enable,Devices,Mechanical Mods,Stingray X Mod 
Hammer Mechanical Mod,,19.99,Enable,Devices,Mechanical Mods,Hammer Mod
FM Copper Mechanical Mod Clone By Tesla,,27.99,Enable,Devices,Mechanical Mods,FM Mod Clone
Steampunk Mechanical Mod Clone ,,33.99,Enable,Devices,Mechanical Mods,Steampunk Mod
18650 Corsair Sea Rover Mod,,30.99,Enable,Devices,Mechanical Mods,Sea Rover Mod
Vanilla 26650 Mechanical Mods Clone,,27.99,Enable,Devices,Mechanical Mods,Vanilla 26650
Anarchist Mod Stainless Steel Clone,,31.99,Enable,Devices,Mechanical Mods,Anarchist Mod Clone
Tesla GAIA 18650 Mechanical Mod Copper Brass Stainless,,30.99,Enable,Devices,Mechanical Mods,GAIA
Cartel 26650 Clone,,20.99,Enable,Devices,Mechanical Mods,Cartel 26650 Clone
Paragon Mechanical Mod Clone Copper / Carbon Fiber,,33.99,Enable,Devices,Mechanical Mods,Paragon Clone 
Tesla AR18650 Mechanical Mod Black / Stainless Clone,,20.99,Enable,Devices,Mechanical Mods,Tesla AR
Overdose Mod Copper Clone,,42.99,Enable,Devices,Mechanical Mods,Overdose Mod Copper Clone
Tesla Vapelyfe Mechanical Mod Full RDA Set,,37.99,Enable,Devices,Mechanical Mods,Tesla Vapelyfe
Vertex 18650 Copper Mod Clone,,31.99,Enable,Devices,Mechanical Mods,Vertex 18650
Tesla Shotgun Mechanical Mod,,26.99,Enable,Devices,Mechanical Mods,Tesla Shotgun
Chi You Megan 26650 Mechanical Mod Clone,,27.99,Enable,Devices,Mechanical Mods,Chi You Megan 26650 
Changeling Mod Kit Clone 18650 Mechanical Mod,,37.99,Enable,Devices,Mechanical Mods,Changeling Mod Clone
SMPL Style 18650 Mechanical Mod Clone By Eternity,,28.99,Enable,Devices,Mechanical Mods,SMPL Clone
Ballistic Telescoping Mod Clone,,24.99,Enable,Devices,Mechanical Mods,Ballistic Mod Clone
CMII 18650 Mechanical Mod Clone 3 Tubes Kit,,29.99,Enable,Devices,Mechanical Mods,CMII 18650
Panzer Mechanical Mod 18650 panzer clone mod,,31.99,Enable,Devices,Mechanical Mods,Panzer Mechanical Mod
2Six Mechanical Mod Clone - 26650 Verison of 4Nine Mod,,23.99,Enable,Devices,Mechanical Mods,2Six Clone
Tesla Nemisis 26650 Clone,,25.99,Enable,Devices,Mechanical Mods,Nemisis 26650 Clone
Caravela Mechanical Mod,,22.99,Enable,Devices,Mechanical Mods,Caravela Mod
Munstro Mod 18650 Clone 3 18650 Tubes,,22.99,Enable,Devices,Mechanical Mods,Munstro Mod 
King Mod Clone Stainless Still,,18.99,Enable,Devices,Mechanical Mods,King Mod 
Antique Dragon Mechanical Mod Clone By Tesla,,28.99,Enable,Devices,Mechanical Mods,Antique Dragon
Four Guardian Gods FGG Telescopic Mechanical Mod 26500-26650 Clone,,22.99,Enable,Devices,Mechanical Mods,FGG Mod Clone
Stingray X 26650 Mechanical Mod Clone,,29.99,Enable,Devices,Mechanical Mods,Stingray 26650
Akuma Mod Mechanical Mod Clone,,24.99,Disable,Devices,Mechanical Mods,Akuma Mod 
Stingray Mechanical Mod Clone,,48.99,Disable,Devices,Mechanical Mods,13008
Akuma Mod Mechanical Mod Clone,,24.99,Disable,Devices,Mechanical Mods,Akuma Copper
Tesla One 1800 mAh Sub Ohm Battery Mod 40A,16.95,19.99,New,Devices,Constant Voltage Mods & eGo Batteries (39),Tesla One 1800
E-Fire wooden Twist Battery 900 Mah,,25.99,Enable,Devices,Constant Voltage Mods & eGo Batteries,E-Fire
E-Fire wooden Twist Battery 900 Mah Full KIt,,36.99,Disable,Devices,Constant Voltage Mods & eGo Batteries,E-Fire Full KIt
Tesla KR 454 RDA Clone,,14.99,Enable,Tanks & Coils,Rebuildable Atomizers,KR 454 RDA Clone
Tesla Atomic Rda Clone,,11.99,Enable,Tanks & Coils,Rebuildable Atomizers,Atomic Rda Clone
Stillare RDA Atomizer Clone,,7.99,Enable,Tanks & Coils,Rebuildable Atomizers,Stillare Clone
Tobh Atty V2.5 RDA 18650 Atomizer Tank Clone,,11.99,Enable,Tanks & Coils,Rebuildable Atomizers,Atty V2.5 RDA 
Vulcan RDA Rebuildable Atomizer Clone,,15.99,Enable,Tanks & Coils,Rebuildable Atomizers,Vulcan Rda Clone
Veritas RDA iHybrid Atomizer Clone,,10.99,Enable,Tanks & Coils,Rebuildable Atomizers,Veritas RDA 
Paradigm Magma RDA Atomizer Clone,,14.99,Enable,Tanks & Coils,Rebuildable Atomizers,Paradigm Magma 
TESLA ATTY 18650 RDA Atomizer Clone,,9.99,Enable,Tanks & Coils,Rebuildable Atomizers,Atty 18650
Nimbus RDA Clone Stainless Still And Gold,,6.99,Enable,Tanks & Coils,Rebuildable Atomizers,Nimbus RDA Clone
Plume Veil RDA Clone,,9.99,Enable,Tanks & Coils,Rebuildable Atomizers,Plume Veil Clone
Vape Jam Rda Clone,,10.99,Enable,Tanks & Coils,Rebuildable Atomizers,Vape Jam Rda Clone
18650 Colt Rda Atomizer Airflow Design Rebuildable Dripping Atomizer 22mm,,12.99,Enable,Tanks & Coils,Rebuildable Atomizers,Colt Clomne
Tesla DII 18650 Rebuildable Dripping Atomizer,,12.99,Enable,Tanks & Coils,Rebuildable Atomizers,Tesla DII 18650
Tesla DII 26650 Rebuildable Dripping Atomizer,,16.99,Enable,Tanks & Coils,Rebuildable Atomizers,Tesla DII Atomizer
The Cerberus 26650 RDA Clone,,15.99,Enable,Tanks & Coils,Rebuildable Atomizers,Cerberus 26650 RDA Clone
Patriot 26650 RDA Clone,,7.99,Enable,Tanks & Coils,Rebuildable Atomizers,Patriot 26650 
Patriot 18650 RDA Clone,,7.99,Enable,Tanks & Coils,Rebuildable Atomizers,Patriot 18650 
Ithaka RBA Clone Rebuildable Atomizer,,16.99,Enable,Tanks & Coils,Rebuildable Atomizers,Ithaka RBA Clone
W6 Rebuildable Dripping Atomizer,,5.99,Enable,Tanks & Coils,Rebuildable Atomizers,W6 Clone
Onslaught RDA Clone Plus Drip Tip Full Kit,,13.99,Enable,Tanks & Coils,Rebuildable Atomizers,Onslaught RDA Clone
Tesla RDA rebuilding atomizer Tesla D1,,9.99,Enable,Tanks & Coils,Rebuildable Atomizers,Tesla RDA D1
MIRROR RBA RDACLONE BY TESLA,,16.99,Enable,Tanks & Coils,Rebuildable Atomizers,MIRROR RBA
TESLA ATTY 26650 RDA Atomizer Clone,,9.99,Enable,Tanks & Coils,Rebuildable Atomizers,ATTY 26650 RDA
The Ruzgar RBA Tank Clone By Tesla,,15.99,Enable,Tanks & Coils,Mechanical Mods,The Ruzgar RBA Clone
Tesla Vortek Sub Ohm Tank N200 Temperature Control,15.95,18.99,New,,,Tesla Vortek
Tesla Vortek TC Sub Coil 5 Pack,,12.99,Enable,,,Tesla Vortek TC Sub Coil 5 Pack
Tesla 200W TC Temperature Control,,78.99,Enable,,,Tesla 200W TC
Kanger Aerotank v2 with Airflow Control,16.45,18.99,New,Devices,Mechnical Mods,Aerotank V2
Kangertech Nickel Subtank OCC 0.15ohm Coil,10.95,12.99,New,,,Kangertech NI200
KangerTech EMOW Starter Kit with airflow adjustable EMOW Clearomizer,38.25,43.99,New,,,EMOW Starter Kit
Kanger VOCC Coils Japanese Cotton,7.95,9.99,New,,,Kanger VOCC Coils
KangerTech IPOW 650 mAh Battery Twist,,16.99,Enabled,Devices,Variable Voltage/Wattage eGo Batteries,Kanger Ipow
Kanger SUBOX Mini Starter Kit,,59.99,Enabled,Starter Kit,Wax & Herb,KA002
Kanger MINI Protank 3 In 5 Colors KIT,,10.99,Disabled,Accessories,Tools,Kanger Mini PT3 KIt
Kanger Aerotank Turbo Quad Coil Tank with Airflow Control,15.5,17.99,New,,,Aerotank Turbo
KangerTech EVOD 2 Starter Kit,,64.99,Disabled,Featured Products,,8003
Kanger IPOW 2 1600mah Variable Wattage 3W-15W,17.95,20.99,New,,,IPOW 2 1600mah
"Kanger eVod VV 650mah Variable Voltage eVod ""Twist"" Battery",,17.99,Enabled,Devices,Variable Voltage/Wattage eGo Batteries,Kanger eVod VV 650mah
Kanger Aerotank Mega with Airflow Control,,29.99,Enabled,Devices,Mechnical Mods,Kanger Aerotank Mega
Kangertech K-Simar 20 Adjustable 7w - 20w,,39.99,Enabled,Devices,Variable Voltage/Wattage Mods,K-Simar 20
"Kanger eVod VV 1000mah Variable Voltage eVod ""Twist"" Battery",,17.99,Enabled,Devices,Constant Voltage Mods & eGo Batteries ,Kanger eVod VV 1000mah
Kanger Aerotank Mini with Airflow Control,16.95,19.99,New,Devices,Mechnical Mods,Kanger Aerotank Mini
Kangertech Subtank Hybrid Tank,31.95,36.99,New,,,Kangertech Subtank
Kanger SUBTANK Replacement Coils 5-pack,11.95,13.99,New,,,SUBTANK Coils 5-pack
2014 Kanger MINI Protank 3 In 5 Colors,,10.99,Disabled,Accessories,Tools,Kanger Mini Protank 3
Kanger AeroTank ProTank-3 Evod-2 T3'D Dual Coil Atomizer Heads 5 Pack,,8.99,Enabled,Accessories,Tools,Kanger Dual Coils V2 5Pack
Kanger Aerotank Giant with Airflow Control,12.95,14.99,New,Devices,Mechnical Mods,Kanger giant
KangerTech Subtank Nano,,34.99,Enabled,Tanks & Coils,Clearomizers,10025
Kanger eVod 2 BDC Bottom Dual Coil,3.89,4.99,New,Tanks & Coils,Clearomizers,Kanger eVod 2
KangerTech Upgraded Dual Coils (5pack) for Kanger Tanks,6.95,7.99,New,,,Kanger Coil V2
