Product Name,Price,Our Price + 15%,Status,Category,Sub Category,SKU
THE SHOCKER Cosmic Fog,6,11.99,Enabled,E-Liquids,TVS-Premium Flavours,THE SHOCKER Cosmic Fog
Siren,11,12.99,Enabled,E-Liquids,TVS-Premium Flavours,Siren
Moby,11,12.99,Enabled,E-Liquids,TVS-Premium Flavours,Moby
Kraken,11,12.99,Enabled,E-Liquids,TVS-Premium Flavours,Kraken
Davey Jones Locker,5.75,6.99,Enabled,E-Liquids,TVS-Premium Flavours,Davey Jones Locker
Jaws,5.75,6.99,Enabled,E-Liquids,TVS-Premium Flavours,Jaws
Mutiny,5.75,6.99,Enabled,E-Liquids,TVS-Premium Flavours,Mutiny
Pirates Booty,5.75,6.99,Enabled,E-Liquids,TVS-Premium Flavours,Pirates Booty
Port Royal,5.75,6.99,Enabled,E-Liquids,TVS-Premium Flavours,Port Royal
